"300.00000,-0.45037"
"2094.00000,49.42778"
"2096.00000,55.88641"
"2098.00000,81.44958"
"2100.00000,81.96741"
"2102.00000,80.12460"
"2104.00000,113.18521"
"2106.00000,139.68338"
"2108.00000,99.96303"
"2110.00000,64.82427"
"2112.00000,78.08212"
"2114.00000,62.09001"
"2116.00000,48.47239"
"2118.00000,59.16008"
"2120.00000,66.46683"
"2122.00000,45.30193"
"2124.00000,42.46740"
"2126.00000,61.84439"
"2128.00000,63.54636"
"2130.00000,42.43198"
"2132.00000,55.40996"
"2134.00000,78.63164"
"2136.00000,81.07291"
"2138.00000,68.27972"
"2140.00000,68.98341"
"2142.00000,79.70422"
"2144.00000,65.69984"
"2146.00000,41.48753"
"2148.00000,35.27531"
"2150.00000,24.93492"
"2152.00000,40.95230"
"2154.00000,77.25571"
"2156.00000,86.15757"
"2158.00000,55.20091"
"2160.00000,81.87453"
"2162.00000,87.96263"
"2164.00000,59.63271"
"2166.00000,63.40719"
"2168.00000,50.99998"
"2170.00000,33.00583"
"2172.00000,39.54937"
"2174.00000,60.47214"
"2176.00000,54.32454"
"2178.00000,53.38231"
"2180.00000,43.62545"
"2182.00000,31.04799"
"2184.00000,51.49459"
"2186.00000,79.43358"
"2188.00000,78.72346"
"2190.00000,53.06644"
"2192.00000,35.48764"
"2194.00000,43.10556"
"2196.00000,49.50013"
"2198.00000,43.46803"
"2200.00000,29.76886"
"2202.00000,19.67064"
"2204.00000,35.22417"
"2206.00000,80.41978"
"2208.00000,119.48728"
"2210.00000,129.75960"
"2212.00000,151.09026"
"2214.00000,160.65555"
"2216.00000,190.07631"
"2218.00000,246.55937"
"2220.00000,256.64218"
"2222.00000,217.27419"
"2224.00000,203.41707"
"2226.00000,206.17216"
"2228.00000,169.56181"
"2230.00000,163.78392"
"2232.00000,165.29715"
"2234.00000,138.52805"
"2236.00000,111.84702"
"2238.00000,139.03784"
"2240.00000,127.51656"
"2242.00000,100.22843"
"2244.00000,96.46832"
"2246.00000,87.50250"
"2248.00000,64.80310"
"2250.00000,65.50505"
"2252.00000,69.37821"
"2254.00000,46.10521"
"2256.00000,50.99898"
"2258.00000,106.77435"
"2260.00000,104.40649"
"2262.00000,57.58462"
"2264.00000,120.86519"
"2266.00000,152.28223"
"2268.00000,147.14076"
"2270.00000,184.08228"
"2272.00000,250.31883"
"2274.00000,208.84642"
"2276.00000,180.63448"
"2278.00000,191.69524"
"2280.00000,167.82852"
"2282.00000,105.17657"
"2284.00000,98.54704"
"2286.00000,103.27598"
"2288.00000,83.86301"
"2290.00000,84.11807"
"2292.00000,99.96745"
"2294.00000,71.02481"
"2296.00000,61.37411"
"2298.00000,110.24158"
"2300.00000,90.62916"
"2302.00000,89.96216"
"2304.00000,137.21439"
"2306.00000,153.85730"
"2308.00000,99.12669"
"2310.00000,122.92105"
"2312.00000,122.37523"
"2314.00000,94.94250"
"2316.00000,112.20614"
"2318.00000,71.94128"
"2320.00000,69.45277"
"2322.00000,73.47832"
"2324.00000,37.72122"
"2326.00000,42.30403"
"2328.00000,90.78796"
"2330.00000,79.23643"
"2332.00000,30.69601"
"2334.00000,49.36109"
"2336.00000,61.99213"
"2338.00000,57.13176"
"2340.00000,50.20131"
"2342.00000,49.41946"
"2344.00000,54.27660"
"2346.00000,64.30526"
"2348.00000,64.84232"
"2350.00000,76.70477"
"2352.00000,122.35764"
"2354.00000,122.82490"
"2356.00000,84.92540"
"2358.00000,58.13099"
"2360.00000,56.50373"
"2362.00000,49.57404"
"2364.00000,90.53761"
"2366.00000,122.59145"
"2368.00000,86.29612"
"2370.00000,40.69368"
"2372.00000,69.67310"
"2374.00000,79.54034"
"2376.00000,55.41322"
"2378.00000,67.06361"
"2380.00000,69.76225"
"2382.00000,74.30444"
"2384.00000,62.12223"
"2386.00000,31.42296"
"2388.00000,46.15847"
"2390.00000,119.70263"
"2392.00000,109.25849"
"2394.00000,41.84640"
"2396.00000,78.45162"
"2398.00000,107.71982"
"2400.00000,69.34906"
"2402.00000,38.72628"
"2404.00000,63.15803"
"2406.00000,53.04464"
"2408.00000,65.93584"
"2410.00000,83.25698"
"2412.00000,88.16615"
"2414.00000,104.20138"
"2416.00000,73.65665"
"2418.00000,87.42184"
"2420.00000,114.18080"
"2422.00000,78.28957"
"2424.00000,95.19545"
"2426.00000,122.48178"
"2428.00000,113.09742"
"2430.00000,76.78068"
"2432.00000,52.65083"
"2434.00000,53.11329"
"2436.00000,48.62713"
"2438.00000,42.16053"
"2440.00000,53.50657"
"2442.00000,46.56067"
"2444.00000,48.26529"
"2446.00000,52.83981"
"2448.00000,38.99746"
"2450.00000,31.09977"
"2452.00000,66.00250"
"2454.00000,90.76080"
"2456.00000,75.98190"
"2458.00000,55.55664"
"2460.00000,29.12228"
"2462.00000,48.06798"
"2464.00000,90.13306"
"2466.00000,81.16403"
"2468.00000,35.47124"
"2470.00000,103.68628"
"2472.00000,136.23763"
"2474.00000,63.81004"
"2476.00000,70.56990"
"2478.00000,63.07424"
"2480.00000,57.01660"
"2482.00000,68.52289"
"2484.00000,69.53828"
